Hour,A,B,C,D,E,F,G,H
0,64.95614035,48.3245614,56.87719298,50.92982456,50.6754386,52.69298246,52.53508772,57.64912281
0.25,78.94736842,52.28070175,63.37719298,55.48245614,55.04385965,57.83333333,55.21052632,62.83333333
0.5,93.44736842,54.14912281,68.13157895,60.63157895,59.04385965,61.60526316,57.97368421,67.01754386
0.75,106.7280702,56.28947368,72.21929825,64.73684211,61.85087719,65.78947368,59.51754386,70.13157895
1,121.3684211,58.92982456,76.87719298,68.62280702,65.21052632,68.99122807,61.34210526,73.36842105
1.25,134.0964912,60.62280702,80.51754386,71.36842105,67.52631579,71.8245614,62.06140351,75.25438596
1.5,146.1315789,61.75438596,83.39473684,73.45614035,69.26315789,73.64035088,63.68421053,78.03508772
1.75,158.4912281,63.71052632,86.27192982,76.50877193,71.18421053,76.21052632,64.10526316,78.80701754
2,166.9122807,64.14035088,88.07017544,78.35964912,72.6754386,77.57894737,65.09649123,80.52631579
2.25,175.2280702,63.57894737,89.85964912,79.18421053,73.25438596,78.93859649,65.00877193,81.51754386
2.5,184.0263158,65.85964912,92.33333333,82.06140351,75.44736842,81.07894737,67.35964912,85.02631579
2.75,191.0438596,65.07017544,92.22807018,80.93859649,74.56140351,80.63157895,64.97368421,83.30701754
3,198.5526316,66.46491228,94.14912281,83.44736842,77.06140351,82.51754386,67.10526316,85.64035088
3.25,205.7719298,66.98245614,95.64035088,84.35964912,76.81578947,83.10526316,66.65789474,85.04385965
3.5,211.4649123,67.37719298,96.14912281,85.50877193,77.81578947,83.71929825,67.07894737,86.5
3.75,219.1315789,68.07894737,97.43859649,85.89473684,78.07894737,84.44736842,67.3245614,87.21929825
4,223.6140351,68.42105263,97.47368421,86.74561404,78.36842105,85.43859649,67.6754386,87.89473684
4.25,228.2631579,69.4122807,99.28947368,87.42982456,79.96491228,86.1754386,67.86842105,87.46491228
4.5,233.7894737,70.51754386,100.9561404,89.35087719,81.54385965,88,69.3245614,89.89473684
4.75,237.9035088,70.28070175,101.0964912,88.73684211,80.72807018,87.14912281,68.33333333,89.22807018
5,240.4298246,70.25438596,101.5087719,89.38596491,82.25438596,88.18421053,69.3245614,90.92982456
5.25,245.8333333,71.49122807,102.6929825,90.71052632,82.06140351,88.77192982,69.71052632,91.43859649
5.5,249.2105263,72.36842105,103.7017544,91.76315789,83.62280702,89.55263158,69.54385965,91.64035088
5.75,252.1403509,72.72807018,104.5964912,92.64912281,83.95614035,90.33333333,70.12280702,92.85964912
6,253.3157895,71.25438596,104.1052632,91.86842105,83.57894737,90.34210526,69.90350877,92.5
6.25,256.7894737,72.89473684,105.8245614,93.24561404,84.59649123,90.92105263,69.95614035,93.14912281
6.5,259.4561404,72.71052632,105.5789474,92.75438596,84.09649123,90.92982456,69.14035088,93.26315789
6.75,261.3245614,72.85964912,105.5087719,93.54385965,85.05263158,90.88596491,70.5877193,94
7,264.5,74.16666667,107.0614035,95.13157895,86.28947368,92.8245614,71.68421053,95.25438596
7.25,265.8157895,73.63157895,106.4385965,94.21929825,85.63157895,92.28070175,70.10526316,94.63157895
7.5,269.8245614,74,107.2105263,94.99122807,85.68421053,92.34210526,70.45614035,96.05263158
7.75,271.1929825,74.83333333,108.3596491,96.22807018,87.30701754,93.47368421,71.3245614,96.71929825
8,272.1666667,74.35964912,108.2982456,95.89473684,86.72807018,93.34210526,70.25438596,96.43859649
8.25,274.8596491,76.03508772,108.9210526,97.05263158,87.43859649,94.11403509,71.56140351,97.07894737
8.5,276.7368421,76.14035088,109.4561404,97.75438596,88.23684211,95.13157895,72.36842105,98.4122807
8.75,278.4649123,75.78070175,109.6578947,97.68421053,88.5877193,95.27192982,72,98.44736842
9,280.1403509,75.60526316,109.9561404,97.75438596,87.87719298,95.05263158,71.62280702,97.92105263
9.25,282.877193,76.78947368,110.3596491,98.25438596,88.78070175,95.49122807,71.5,98.84210526
9.5,283.254386,76.51754386,111.3157895,99.11403509,89.38596491,96.31578947,72.25438596,99.57894737
9.75,283.6666667,75.97368421,111.0526316,98.57894737,88.43859649,96.02631579,70.87719298,99.01754386
10,285.6403509,77.50877193,112.0964912,99.44736842,90.29824561,96.8245614,72.25438596,99.9122807
10.25,287.3157895,78.4122807,113.4035088,100.8070175,91.76315789,98.42105263,73.78070175,102.1842105
10.5,288.5964912,77.01754386,111.9385965,99.86842105,89.92982456,96.78947368,72.05263158,100.4912281
10.75,289.2631579,78.03508772,113.0175439,100.3684211,90.76315789,97.53508772,72.57017544,101.2105263
11,290.2807018,77.39473684,113.0964912,100.4210526,90.20175439,97.22807018,71.64912281,101.2807018
11.25,291.1842105,77.93859649,113.0964912,101.1140351,91.01754386,97.81578947,72.79824561,101.3859649
11.5,292.8070175,78.15789474,113.5263158,101.1666667,90.99122807,98.18421053,72.33333333,101.4385965
11.75,294.0701754,79.19298246,115.6929825,102.9473684,93.04385965,99.73684211,73.51754386,103.9736842
12,295.0964912,78.5877193,114.0526316,101.9912281,91.62280702,98.80701754,72.87719298,102.4298246
12.25,295.8245614,79.47368421,115.6052632,103.5614035,93.34210526,100.5350877,74.02631579,104.5175439
12.5,297.4561404,79.85087719,115.5877193,103.2192982,93.13157895,100.4649123,74.23684211,104.6403509
12.75,297.7192982,79.87719298,115.8684211,103.7982456,93.44736842,100.9385965,74.06140351,105.254386
13,298.8859649,79.65789474,115.877193,104.0263158,93.35087719,100.7807018,73.71052632,105.0438596
13.25,299.9561404,80.42105263,116.7631579,104.4649123,94,101.7280702,74.1754386,105.6140351
13.5,300.2807018,79.92982456,116.9736842,104.4298246,94.06140351,101.7982456,74.14912281,105.4210526
13.75,300.8596491,80.03508772,116.6842105,104.4298246,93.6754386,101.0789474,73.25438596,105.622807
14,302.0701754,80.34210526,116.9473684,104.5877193,93.79824561,101.2894737,73.15789474,105.7192982
14.25,303.2982456,81.65789474,118.3070175,105.9298246,95.40350877,102.5964912,74.57017544,106.7105263
14.5,303.4035088,81.02631579,117.5526316,105.0350877,94.45614035,101.9561404,73.37719298,106.0789474
14.75,304.4122807,81.43859649,117.5701754,105.5263158,94.53508772,102.254386,73.63157895,106.4824561
15,304.9122807,81.02631579,118.4561404,106.1754386,95.3245614,102.9122807,74.14035088,107.3157895
15.25,305.9561404,82.15789474,119.622807,107.1403509,96.28947368,103.6315789,75.00877193,108.254386
15.5,306.3947368,81.87719298,118.8508772,106.7105263,95.40350877,103.1929825,74.64912281,107.254386
15.75,307.377193,82.56140351,119.6578947,107.1929825,96.24561404,104.3333333,75.10526316,109.1052632
16,307.5964912,82.5877193,120.0964912,107.8157895,96.56140351,104.2719298,75.35087719,109.2105263
16.25,307.9122807,81.51754386,119.4824561,106.9210526,95.50877193,103.4649123,74.22807018,108.0789474
16.5,309.122807,82.64035088,120.5087719,107.9736842,96.6754386,104.7280702,74.39473684,108.8596491
16.75,309.7017544,83.09649123,120.5350877,108.3333333,97.50877193,105.0701754,74.89473684,109.6403509
17,310.1140351,82.79824561,120.6052632,107.8596491,96.73684211,104.4561404,74.3245614,108.8684211
17.25,310.5614035,82.55263158,120.8596491,108.4736842,96.85964912,105.0877193,74.24561404,109.4473684
17.5,311.0263158,83.66666667,121.8947368,109.245614,97.33333333,105.5526316,75.06140351,109.9122807
17.75,311.9298246,83.88596491,121.877193,109.6929825,97.78947368,106.0614035,75.65789474,111.0175439
18,312.1842105,83.92982456,121.9385965,109.8596491,97.94736842,106.3333333,75.77192982,111.1403509
18.25,312.6140351,83.61403509,121.8947368,109.2719298,98.10526316,106.3596491,74.61403509,110.8947368
18.5,313.122807,83.78947368,122.377193,110.122807,98.53508772,106.4824561,74.98245614,110.9824561
18.75,313.7631579,84.66666667,123.122807,110.8684211,99.28070175,107.1403509,75.81578947,111.8070175
19,314.3859649,85.07894737,123.6315789,111.2368421,99.80701754,107.8684211,76.39473684,112.7280702
19.25,315.0701754,86.28070175,125.1403509,112.7017544,100.8070175,108.8333333,77.18421053,114
19.5,315.4035088,85.62280702,124.2982456,112.0350877,99.68421053,108.3508772,76.63157895,113.1754386
19.75,315.8596491,86.18421053,124.7105263,112.7017544,100.8859649,109.2105263,76.28070175,114.3157895
20,316.6140351,86.28070175,124.8245614,113.1052632,101.7368421,109.6052632,77.34210526,114.8333333
20.25,316.0614035,84.75438596,124.0087719,111.7280702,99.92982456,108.4385965,75.47368421,113.3508772
20.5,317.2982456,86.6754386,125.6140351,113.6052632,101.5087719,110.1578947,77.69298246,115.2192982
20.75,317.0964912,86.25438596,125.2807018,112.8596491,100.8947368,109.6052632,76.21929825,114.6052632
21,317.9210526,86.79824561,125.6491228,113.5263158,101.2719298,109.2719298,76.77192982,114.3859649
21.25,317.8157895,85.55263158,124.2894737,112.3245614,99.80701754,108.877193,76.18421053,114.0964912
21.5,318.4385965,86.56140351,125.9473684,113.8596491,101.6578947,110.0526316,76.54385965,115.5526316
21.75,318.8333333,86.78070175,125.9912281,113.6578947,101.2982456,109.4736842,75.73684211,114.6491228
22,319.1052632,86.93859649,126.3421053,113.7719298,101.5,110.4298246,76.89473684,116.0964912
22.25,319.7631579,87.57894737,127.2631579,115.1052632,102.3684211,111.0701754,77.37719298,116.5438596
22.5,319.6842105,87.48245614,127.0175439,114.7017544,102.2807018,111.254386,76.94736842,116.0877193
22.75,311.622807,86.55263158,125.0350877,113.9210526,101.9649123,110.0614035,76.84210526,115.5526316
23,312.0438596,86.56140351,125.5087719,113.8684211,101.6578947,110.1929825,76.74561404,115.4122807
23.25,321.0350877,88.61403509,128.2719298,116.1842105,103.7982456,112.2807018,77.99122807,118.1052632
23.5,320.9035088,87.81578947,127.3421053,115.2631579,102.8947368,111.5175439,77.13157895,117.122807
23.75,321.6140351,88.46491228,128.1403509,116.1052632,103.754386,112.6578947,77.92982456,118.5964912
24,321.7192982,88.83333333,128.5701754,117.0350877,104.245614,113.0964912,78.71929825,119.3684211
